| classification_id |                          user_name | user_id |              created_at | subject_ids |              x |                  y | frame |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |      53.796875 |              179.0 |     0 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |      50.796875 |              181.0 |     3 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     315.796875 |              361.0 |     3 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     317.796875 |              359.0 |     0 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     315.796875 |              358.0 |     1 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     167.796875 |               26.0 |     3 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     168.796875 |               24.0 |     0 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     165.796875 |               25.0 |     1 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     210.796875 |              413.0 |     3 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     211.796875 |              413.0 |     0 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     211.796875 |              413.0 |     1 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     284.796875 |              263.0 |     1 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     285.796875 |              265.0 |     3 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     286.796875 |              264.0 |     0 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     133.796875 |              262.0 |     3 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     134.796875 |              262.0 |     0 |
|          32903334 | not-logged-in-2a6b3735eea1f2a3f083 |       1 | 2017-03-09 15:24:55 UTC |     5965181 |     133.796875 |              261.0 |     1 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     220.296875 |              168.0 |     3 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     235.296875 |              153.0 |     0 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     230.296875 |              163.0 |     1 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     290.296875 |              312.0 |     0 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     295.296875 |              318.0 |     2 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     288.296875 |              306.0 |     3 |
|          32903360 |                           KeylSolo |       1 | 2017-03-09 15:25:02 UTC |     6262638 |     294.296875 |              310.0 |     1 |
|          32903413 | not-logged-in-a45c7da20beedb749cad |       1 | 2017-03-09 15:25:17 UTC |     6457957 |     407.296875 |              465.0 |     0 |
|          32903413 | not-logged-in-a45c7da20beedb749cad |       1 | 2017-03-09 15:25:17 UTC |     6457957 |     412.296875 |              458.0 |     3 |
|          32903413 | not-logged-in-a45c7da20beedb749cad |       1 | 2017-03-09 15:25:17 UTC |     6457957 |     412.296875 |              458.0 |     1 |
|          32903473 |                           graham_d |       1 | 2017-03-09 15:25:35 UTC |     5943383 |  420.516662598 |      503.566650391 |     3 |
|          32903473 |                           graham_d |       1 | 2017-03-09 15:25:35 UTC |     5943383 |  420.516662598 |      504.566650391 |     2 |
|          32903473 |                           graham_d |       1 | 2017-03-09 15:25:35 UTC |     5943383 |  421.516662598 |      504.566650391 |     1 |
|          32903473 |                           graham_d |       1 | 2017-03-09 15:25:35 UTC |     5943383 |  421.516662598 |      501.566650391 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     482.296875 |              401.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     525.296875 |              353.0 |     1 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     522.296875 |              352.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     151.296875 |               56.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     107.296875 |              342.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     155.296875 |              331.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     240.296875 |              349.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     121.296875 |              442.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     414.296875 |              387.0 |     0 |
|          32903482 |                           KeylSolo |       1 | 2017-03-09 15:25:39 UTC |     6284769 |     344.296875 |              402.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     153.296875 |               94.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     100.296875 |              189.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     360.296875 |              171.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     445.296875 |              144.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     431.296875 |              213.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     355.296875 |              279.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     426.296875 |              394.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     392.296875 |              379.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     308.296875 |              354.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     263.296875 |              350.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |      39.296875 |              468.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |      67.296875 |              495.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     227.296875 |              104.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     291.296875 |               13.0 |     0 |
|          32903545 |                           KeylSolo |       1 | 2017-03-09 15:25:59 UTC |     6285235 |     327.296875 |               45.0 |     0 |
|          32903565 |                        VinodThakur |       1 | 2017-03-09 15:26:03 UTC |     6528011 |  133.306060791 |      21.9857711792 |     1 |
|          32903565 |                        VinodThakur |       1 | 2017-03-09 15:26:03 UTC |     6528011 |  140.402511597 |      21.9857711792 |     2 |
